tx_id,source_account,target_account,amount,timestamp,is_anomaly,anomaly_type
TX_101205,ACC_1022,ACC_1018,1273.48,2026-07-10 21:31:00,0,None
TX_102456,ACC_1077,ACC_1090,311.37,2026-07-11 21:28:00,0,None
TX_100885,ACC_1151,ACC_1031,1288.35,2026-07-10 18:08:00,0,None
TX_102673,ACC_1142,ACC_1080,1379.55,2026-07-12 00:32:00,0,None
TX_100576,ACC_1045,ACC_1069,1183.07,2026-07-10 22:52:00,0,None
TX_103738,ACC_1155,ACC_1169,187.86,2026-07-13 01:09:00,0,None
TX_100947,ACC_1104,ACC_1052,676.3,2026-07-11 23:18:00,0,None
TX_100321,ACC_1094,ACC_1156,505.76,2026-07-11 20:28:00,0,None
TX_101662,ACC_1135,ACC_1126,299.03,2026-07-12 19:42:00,0,None
TX_101272,ACC_1135,ACC_1177,358.13,2026-07-13 02:13:00,0,None
TX_100805,ACC_1178,ACC_1032,1323.99,2026-07-12 19:36:00,0,None
TX_101847,ACC_1169,ACC_1162,1115.48,2026-07-12 00:13:00,0,None
TX_100168,ACC_1024,ACC_1132,394.33,2026-07-12 21:57:00,0,None
TX_103786,ACC_1171,ACC_1108,555.9,2026-07-11 19:43:00,0,None
TX_102055,ACC_1198,ACC_1141,915.2,2026-07-12 20:58:00,0,None
TX_101056,ACC_1169,ACC_1072,1027.86,2026-07-12 23:58:00,0,None
TX_100466,ACC_1135,ACC_1063,72.29,2026-07-12 21:54:00,0,None
TX_100696,ACC_1049,ACC_1166,1402.88,2026-07-10 19:03:00,0,None
TX_101705,ACC_1078,ACC_1083,20.19,2026-07-12 20:47:00,0,None
TX_100984,ACC_1057,ACC_1136,849.72,2026-07-12 21:14:00,0,None
TX_102659,ACC_1028,ACC_1074,792.45,2026-07-13 02:14:00,0,None
TX_102847,ACC_1149,ACC_1116,84.06,2026-07-12 00:07:00,0,None
TX_100234,ACC_1005,ACC_1058,922.21,2026-07-12 00:26:00,0,None
TX_100157,ACC_1059,ACC_1014,342.66,2026-07-11 19:09:00,0,None
TX_104317,ACC_1161,ACC_1143,167.08,2026-07-13 02:31:00,0,None
TX_103075,ACC_1027,ACC_1175,1348.06,2026-07-12 19:44:00,0,None
TX_102501,ACC_1150,ACC_1178,409.42,2026-07-10 20:54:00,0,None
TX_102453,ACC_1012,ACC_1092,1419.11,2026-07-12 22:29:00,0,None
TX_101341,ACC_1053,ACC_1080,466.3,2026-07-13 00:40:00,0,None
TX_100041,ACC_1018,ACC_1148,1241.36,2026-07-13 02:45:00,0,None
TX_103432,ACC_1067,ACC_1016,870.91,2026-07-12 18:28:00,0,None
TX_102907,ACC_1047,ACC_1143,1183.2,2026-07-11 18:40:00,0,None
TX_100865,ACC_1059,ACC_1035,1413.43,2026-07-12 19:26:00,0,None
TX_103614,ACC_1138,ACC_1069,1316.25,2026-07-11 20:18:00,0,None
TX_101006,ACC_1149,ACC_1005,955.37,2026-07-11 19:16:00,0,None
TX_100803,ACC_1026,ACC_1114,1123.54,2026-07-12 21:21:00,0,None
TX_103976,ACC_1019,ACC_1128,522.23,2026-07-12 02:24:00,0,None
TX_104723,ACC_1194,ACC_1029,1409.47,2026-07-12 23:32:00,0,None
TX_104698,ACC_1166,ACC_1183,138.37,2026-07-10 20:51:00,0,None
TX_104041,ACC_1105,ACC_1028,737.83,2026-07-12 01:16:00,0,None
TX_101520,ACC_1138,ACC_1061,1270.13,2026-07-12 22:10:00,0,None
TX_100110,ACC_1115,ACC_1186,1057.46,2026-07-11 21:32:00,0,None
TX_102647,ACC_1053,ACC_1059,605.02,2026-07-12 01:38:00,0,None
TX_103726,ACC_1197,ACC_1075,659.01,2026-07-12 00:44:00,0,None
TX_101267,ACC_1099,ACC_1091,269.94,2026-07-11 01:56:00,0,None
TX_100641,ACC_1076,ACC_1103,1079.88,2026-07-12 02:08:00,0,None
TX_100002,ACC_1119,ACC_1037,1337.96,2026-07-12 21:19:00,0,None
TX_102859,ACC_1127,ACC_1022,499.61,2026-07-12 20:46:00,0,None
TX_104245,ACC_1097,ACC_1146,285.53,2026-07-10 21:00:00,0,None
TX_102564,ACC_1058,ACC_1021,1362.64,2026-07-12 23:42:00,0,None
TX_102757,ACC_1051,ACC_1043,1247.11,2026-07-12 22:58:00,0,None
TX_102090,ACC_1091,ACC_1007,966.93,2026-07-11 21:06:00,0,None
TX_103978,ACC_1031,ACC_1007,106.25,2026-07-12 21:40:00,0,None
TX_100735,ACC_1003,ACC_1012,1450.45,2026-07-10 21:15:00,0,None
TX_102204,ACC_1031,ACC_1129,1224.5,2026-07-13 00:11:00,0,None
TX_100765,ACC_1162,ACC_1144,1403.05,2026-07-12 21:48:00,0,None
TX_102160,ACC_1022,ACC_1121,1329.51,2026-07-12 22:19:00,0,None
TX_101500,ACC_1101,ACC_1038,81.1,2026-07-10 22:07:00,0,None
TX_103455,ACC_1169,ACC_1028,351.44,2026-07-11 21:29:00,0,None
TX_103895,ACC_1104,ACC_1026,788.67,2026-07-10 20:33:00,0,None
TX_101753,ACC_1010,ACC_1039,219.97,2026-07-10 19:23:00,0,None
TX_101058,ACC_1198,ACC_1051,1298.18,2026-07-12 19:45:00,0,None
TX_102203,ACC_1141,ACC_1033,1009.65,2026-07-11 01:05:00,0,None
TX_103369,ACC_1166,ACC_1016,1056.91,2026-07-13 02:21:00,0,None
TX_101128,ACC_1011,ACC_1035,465.31,2026-07-11 22:47:00,0,None
TX_100142,ACC_1034,ACC_1005,1348.79,2026-07-11 19:10:00,0,None
TX_101670,ACC_1125,ACC_1073,593.11,2026-07-11 20:35:00,0,None
TX_103714,ACC_1045,ACC_1057,220.56,2026-07-10 22:35:00,0,None
TX_103257,ACC_1170,ACC_1000,300.18,2026-07-11 20:06:00,0,None
TX_104292,ACC_1121,ACC_1151,492.41,2026-07-13 02:21:00,0,None
TX_100209,ACC_1043,ACC_1074,599.93,2026-07-11 23:18:00,0,None
TX_101150,ACC_1173,ACC_1021,1357.71,2026-07-12 20:23:00,0,None
TX_101576,ACC_1163,ACC_1141,77.59,2026-07-10 21:50:00,0,None
TX_103446,ACC_1174,ACC_1168,1360.68,2026-07-11 19:57:00,0,None
TX_100358,ACC_1013,ACC_1139,1060.78,2026-07-12 20:47:00,0,None
TX_101912,ACC_1125,ACC_1038,34.68,2026-07-11 02:56:00,0,None
TX_100770,ACC_1154,ACC_1117,894.8,2026-07-11 01:19:00,0,None
TX_102810,ACC_1092,ACC_1180,354.18,2026-07-10 20:11:00,0,None
TX_101612,ACC_1039,ACC_1080,12.43,2026-07-12 22:03:00,0,None
TX_101406,ACC_1164,ACC_1013,656.48,2026-07-10 23:42:00,0,None
TX_101042,ACC_1060,ACC_1094,574.02,2026-07-12 18:52:00,0,None
TX_104200,ACC_1038,ACC_1000,347.55,2026-07-11 02:47:00,0,None
TX_100311,ACC_1071,ACC_1110,126.06,2026-07-12 22:06:00,0,None
TX_103409,ACC_1179,ACC_1155,1455.98,2026-07-10 18:38:00,0,None
TX_100706,ACC_1107,ACC_1192,976.71,2026-07-11 00:19:00,0,None
TX_104888,ACC_1078,ACC_1112,510.16,2026-07-11 20:48:00,0,None
TX_102979,ACC_1170,ACC_1006,1073.68,2026-07-13 01:36:00,0,None
TX_102940,ACC_1065,ACC_1101,879.36,2026-07-12 01:24:00,0,None
TX_104217,ACC_1078,ACC_1177,1456.45,2026-07-12 18:07:00,0,None
TX_104982,ACC_1173,ACC_1162,1379.36,2026-07-10 19:01:00,0,None
TX_103734,ACC_1166,ACC_1036,128.44,2026-07-10 21:23:00,0,None
TX_101432,ACC_1004,ACC_1064,1495.17,2026-07-11 18:40:00,0,None
TX_102650,ACC_1128,ACC_1158,1109.85,2026-07-11 02:56:00,0,None
TX_100029,ACC_1119,ACC_1175,966.2,2026-07-10 21:50:00,0,None
TX_101898,ACC_1005,ACC_1035,35.25,2026-07-12 00:25:00,0,None
TX_103731,ACC_1059,ACC_1192,78.56,2026-07-10 22:21:00,0,None
